title,location,price,area_sqft,price_per_sqft
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,3200000,2250,1422
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,4400000,3600,1222
"Residential Land / Plot in Aroor, Hyderabad",Aroor,3600000,1476,2439
"Residential Land / Plot in Kompally, Hyderabad",Kompally,4500000,1350,3333
"Residential Land / Plot in Keesara, Hyderabad",Keesara,2900000,1980,1444
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2400000,1323,1778
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,3200000,1620,2000
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,4800000,1980,2444
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,3000000,1800,1667
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,13000000,9000,1444
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,4000000,1800,2222
"Residential Land / Plot in Gundlapochampally, Outer Ring Road, Hyderabad",Gundlapochampally,13900000,2637,5271
"Residential Land / Plot in Timmapur, Hyderabad",Timmapur,30000000,7200,4167
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,6600000,1629,4052
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,8800000,3159,2770
"Residential Land / Plot in Maheswaram Lines, Chandrayangutta, Srisailam Highway, Hyderabad",Maheswaram Lines,1600000,1008,1587
"Residential Land / Plot in Lakudaram, Hyderabad",Lakudaram,3000000,1647,1821
"Residential Land / Plot in Shadnagar Bypass Road, Hyderabad",Shadnagar Bypass Road,3800000,1350,2778
"Residential Land / Plot in Srisailam Highway, Hyderabad",Srisailam Highway,4000000,1800,2222
"Residential Land / Plot in Zahirabad, Hyderabad",Zahirabad,2200000,1575,1381
"Residential Land / Plot in Appa Junction Area, Hyderabad",Appa Junction Area,61200000,5004,12222
"Residential Land / Plot in Alair, Hyderabad",Alair,2000000,1485,1333
"Residential Land / Plot in Dulapally, Hyderabad",Dulapally,35700000,2925,12222
"Residential Land / Plot in Farooqnagar, Hyderabad",Farooqnagar,5000000,1737,2879
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2800000,1503,1889
"Residential Land / Plot in Shankarpalle, Hyderabad",Shankarpalle,17100000,4050,4227
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3200000,1800,1778
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4500000,1980,2297
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4200000,1503,2778
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,6100000,3240,1889
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3000000,1485,2020
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3700000,1800,2055
