title,location,price,area_sqft,price_per_sqft,latitude,longitude,infrastructure,metro_distance,crime_rate,pollution,growth_index
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,3200000,2250,1422,17.46535269,78.41291007,9.190601915,9.883258627,4.209018363,6.459743946,6.219941607
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,4400000,3600,1222,17.5186437,78.2904605,8.92408342,5.721362932,6.20782943,6.906778823,7.447329075
"Residential Land / Plot in Aroor, Hyderabad",Aroor,3600000,1476,2439,17.53305379,78.36259738,7.546633861,10.48502688,5.093623479,7.192603064,5.032971357
"Residential Land / Plot in Kompally, Hyderabad",Kompally,4500000,1350,3333,17.43531384,78.41231196,5.613390921,10.69689573,4.643639988,5.599235801,3.802402644
"Residential Land / Plot in Keesara, Hyderabad",Keesara,2900000,1980,1444,17.42727825,78.3503467,7.849867775,1.809646911,4.324581616,5.891884088,8.106705028
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2400000,1323,1778,17.33236768,78.44055944,5.192237638,9.097423221,4.770742103,7.47135076,4.082868176
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,3200000,1620,2000,17.40467226,78.4806914,9.670367655,1.951514116,5.201288207,4.567685332,9.151715887
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,4800000,1980,2444,17.43611084,78.52955887,9.215856241,2.274986917,4.287343551,3.59172535,8.771184772
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,3000000,1800,1667,17.5186437,78.2904605,7.444857602,11.44874651,3.024171263,4.841884991,4.650665725
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,13000000,9000,1444,17.49672175,78.39105877,7.629905152,4.216936898,4.091704664,4.497569952,7.172297459
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,4000000,1800,2222,17.49883947,78.27962908,6.523224834,2.171188755,2.313204684,5.587712441,7.190205316
"Residential Land / Plot in Gundlapochampally, Outer Ring Road, Hyderabad",Gundlapochampally,13900000,2637,5271,17.54248554,78.435785,5.220152117,8.380055654,6.425455863,4.756450337,4.338739385
"Residential Land / Plot in Timmapur, Hyderabad",Timmapur,30000000,7200,4167,17.32072114,78.41982153,6.242629251,8.424221045,4.856824223,5.095061731,4.937503869
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,6600000,1629,4052,17.41113733,78.36885685,9.966774335,8.684726935,2.417236327,3.912751903,7.085155623
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,8800000,3159,2770,17.41113733,78.36885685,6.496848719,1.729208834,7.635127291,6.996125,7.321706287
"Residential Land / Plot in Maheswaram Lines, Chandrayangutta, Srisailam Highway, Hyderabad",Maheswaram Lines,1600000,1008,1587,17.5229354,78.32458242,5.386695539,3.114704722,3.427120008,5.421095861,6.193782416
"Residential Land / Plot in Lakudaram, Hyderabad",Lakudaram,3000000,1647,1821,17.39117195,78.42901941,7.464556683,8.576901744,3.097583882,6.104764074,5.619766762
"Residential Land / Plot in Shadnagar Bypass Road, Hyderabad",Shadnagar Bypass Road,3800000,1350,2778,17.37084903,78.54124604,9.159426046,10.84215739,6.970379209,3.588807048,5.881603164
"Residential Land / Plot in Srisailam Highway, Hyderabad",Srisailam Highway,4000000,1800,2222,17.46964172,78.45263933,7.207500885,11.49201361,3.064358468,4.03840959,4.493829329
"Residential Land / Plot in Zahirabad, Hyderabad",Zahirabad,2200000,1575,1381,17.38715796,78.47130345,7.359804998,10.72425516,6.045005772,5.170859611,4.841131279
"Residential Land / Plot in Appa Junction Area, Hyderabad",Appa Junction Area,61200000,5004,12222,17.40443887,78.3649438,7.318216159,6.727453923,1.251861912,4.306459455,6.148445054
"Residential Land / Plot in Alair, Hyderabad",Alair,2000000,1485,1333,17.36920602,78.31084972,9.833977984,1.861460814,7.332498079,5.946173203,9.279899852
"Residential Land / Plot in Dulapally, Hyderabad",Dulapally,35700000,2925,12222,17.3359115,78.28900629,5.156797531,4.305653666,5.970803887,3.970263383,5.65886063
"Residential Land / Plot in Farooqnagar, Hyderabad",Farooqnagar,5000000,1737,2879,17.39277136,78.54763753,7.792858135,6.017772868,2.590412892,4.413667664,6.669790592
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2800000,1503,1889,17.33236768,78.44055944,8.21210281,11.23799993,1.504072813,5.463475605,5.181261708
"Residential Land / Plot in Shankarpalle, Hyderabad",Shankarpalle,17100000,4050,4227,17.34023359,78.31017118,7.010524461,9.600877979,3.671977858,6.620411906,5.006022017
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3200000,1800,1778,17.53091164,78.50120056,6.142457127,6.442390563,7.683575567,5.183146373,5.538010755
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4500000,1980,2297,17.48637905,78.42608884,5.385670705,9.27188465,5.353506994,6.33027628,4.140774206
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4200000,1503,2778,17.50812634,78.28010676,7.666211206,7.922260719,5.460384626,5.830117012,5.95897315
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,6100000,3240,1889,17.46105933,78.29288357,5.362583105,6.957986221,1.953470308,5.972663544,4.898221123
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3000000,1485,2020,17.53091164,78.50120056,8.041009889,11.85437053,6.524080144,4.932450538,4.873149088
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3700000,1800,2055,17.48637905,78.42608884,6.726587618,4.528006495,3.264682363,5.254584756,6.526617072
Plot/Land for Sale in Chalapathi paradise Hyderabad,Chalapathi paradise Hyderabad,3600000,1800,2000,17.38216744,78.34637624,6.273028009,3.965346212,7.196857091,6.526818014,6.442034735
Plot/Land for Sale in Ravindra Nagar Habsiguda Hyderabad,Ravindra Nagar Habsiguda Hyderabad,55000000,5580,9857,17.34679702,78.47245174,8.542712588,4.920679305,5.778676245,5.15037721,7.485401118
Plot/Land for Sale in Majidpur Road Hyderabad,Majidpur Road Hyderabad,3000000,1800,1667,17.51635826,78.44374894,8.232198394,7.57039198,1.702309021,7.276058335,6.415855043
Plot/Land for Sale in Mumbai Highway Hyderabad,Mumbai Highway Hyderabad,3700000,1800,2056,17.36284002,78.54795707,6.670558379,9.898056693,1.504366656,5.26085609,4.702982797
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,6000000,1800,3333,17.3949636,78.27809564,5.041347499,10.21854317,4.512990624,7.498761562,3.618627443
Plot/Land for Sale in Himayatnagar Moinabad Hyderabad,Himayatnagar Moinabad Hyderabad,22400000,7200,3111,17.50759257,78.38217422,6.775089711,6.187509829,4.801841025,5.460560058,6.002550551
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1314,1903,17.48637905,78.42608884,6.04752704,10.42095889,3.048662744,6.357259869,4.154863262
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2600000,1800,1444,17.48637905,78.42608884,8.089782191,2.701503614,5.286228631,4.546205566,7.95336811
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,12500000,2403,5202,17.30253791,78.32031444,7.461869211,6.769646941,2.68865692,5.545386923,6.220572546
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2400000,1467,1667,17.50812634,78.28010676,6.011261263,6.485938592,7.252608073,6.839892205,5.444777227
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,21000000,2313,9079,17.44454401,78.38422306,9.046601522,2.562377475,4.233827418,5.151856094,8.573835088
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1485,2155,17.50675563,78.52077202,9.990358123,5.138808936,6.633492235,4.814656879,8.281278562
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,8000000,1800,4444,17.46774764,78.37332148,8.73992406,10.32395032,7.856522329,3.412469421,5.802637662
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,6000000,2250,2667,17.50675563,78.52077202,6.515589738,1.362362426,2.876896174,7.160665017,7.455233034
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,14000000,4500,3111,17.32891235,78.37802051,8.713727779,5.601990939,3.779154308,4.168282647,7.360906354
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2000000,1197,1671,17.48637905,78.42608884,7.693119754,6.460008096,7.191907693,7.015278818,6.46253582
Plot/Land for Sale in Keshampet Hyderabad,Keshampet Hyderabad,1900000,1323,1436,17.5037923,78.47589182,8.638431938,6.917455881,7.441938604,4.064512661,6.877240536
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,10700000,2403,4453,17.54264767,78.35229978,8.435274867,11.94467748,4.451220418,3.49586738,5.079605761
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3400000,1800,1889,17.53091164,78.50120056,9.687391254,1.685707118,4.272600209,7.147747706,9.25053238
Plot/Land for Sale in Chennaram Hyderabad,Chennaram Hyderabad,2000000,1638,1248,17.43128581,78.46493782,5.123320732,9.578839894,1.715076625,4.59948113,3.881045808
Plot/Land for Sale in Lakdaram Hyderabad,Lakdaram Hyderabad,11200000,3600,3111,17.37837964,78.41638493,5.817662157,6.778649878,1.596764811,5.20376866,5.231047335
