property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,1422,2250,35 X 64.29,Freehold,,,No,3200000
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,1222,3600,60 X 60,Freehold,,,No,4400000
"Residential Land / Plot in Aroor, Hyderabad",Aroor,2439,1476,36 X 41,Freehold,,,No,3600000
"Residential Land / Plot in Kompally, Hyderabad",Kompally,3333,1350,45 X 30,Freehold,HMDA,,No,4500000
"Residential Land / Plot in Keesara, Hyderabad",Keesara,1444,1980,48 X 41.2,Freehold,,,No,2900000
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,1778,1323,36 X 36.8,,,,No,2400000
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,2000,1620,42 X 38.6,Freehold,,,No,3200000
"Residential Land / Plot in Ayyappa Colony Shadnagar, Hyderabad",Ayyappa Colony Shadnagar,20000,400,20 X 20,Freehold,GHMC,East,Yes,8000000
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,2444,1980,60 X 33,Freehold,,,Yes,4800000
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,1667,1800,60 X 30,Freehold,DTCP,East,No,3000000
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,1444,9000,387 X 23.2,Freehold,DTCP,East,No,13000000
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,2222,1800,35 X 51.43,Freehold,DTCP,East,No,4000000
"Residential Land / Plot in Gundlapochampally, Outer Ring Road, Hyderabad",Gundlapochampally,5271,2637,75.3 X 35,Freehold,HMDA,,Yes,13900000
"Residential Land / Plot in Timmapur, Hyderabad",Timmapur,4167,7200,90 X 80,Freehold,,East,No,30000000
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,4052,1629,13.6 X 120,Freehold,HMDA,East,No,6600000
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,2770,3159,,Freehold,HMDA,East,No,8800000
"Residential Land / Plot in Maheswaram Lines, Chandrayangutta, Srisailam Highway, Hyderabad",Maheswaram Lines,1587,1008,10.8 X 93,,,,Yes,1600000
"Residential Land / Plot in Lakudaram, Hyderabad",Lakudaram,1821,1647,,Freehold,DTCP,East,No,3000000
"Residential Land / Plot in Shadnagar Bypass Road, Hyderabad",Shadnagar Bypass Road,2778,1350,,,HMDA,East,No,3800000
"Residential Land / Plot in Srisailam Highway, Hyderabad",Srisailam Highway,2222,1800,,Freehold,HMDA,East,No,4000000
"Residential Land / Plot in Zahirabad, Hyderabad",Zahirabad,1381,1575,33 X 47.7,Freehold,DTCP,East,No,2200000
"Residential Land / Plot in Appa Junction Area, Hyderabad",Appa Junction Area,12222,5004,16.7 X 300,,,North,Yes,61200000
"Residential Land / Plot in Alair, Hyderabad",Alair,1333,1485,39 X 38.1,Freehold,DTCP,East,No,2000000
"Residential Land / Plot in Dulapally, Hyderabad",Dulapally,12222,2925,65 X 45,Freehold,,East,No,35700000
"Residential Land / Plot in Farooqnagar, Hyderabad",Farooqnagar,2879,1737,,Freehold,HMDA,East,No,5000000
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,1889,1503,45 X 33.4,Freehold,HMDA,,Yes,2800000
"Residential Land / Plot in Shankarpalle, Hyderabad",Shankarpalle,4227,4050,81 X 50,Freehold,HMDA,,Yes,17100000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1778,1800,45 X 40,Freehold,DTCP,East,No,3200000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2297,1980,45 X 44,Freehold,HMDA,,Yes,4500000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2778,1503,30 X 50.1,Freehold,HMDA,East,No,4200000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1889,3240,60 X 54,Freehold,DTCP,East,No,6100000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2020,1485,,,DTCP,,Yes,3000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2055,1800,45.5 X 39.6,,,,Yes,3700000
Plot/Land for Sale in Chalapathi paradise Hyderabad,Chalapathi paradise Hyderabad,2000,1800,,,,,Yes,3600000
Plot/Land for Sale in Ravindra Nagar Habsiguda Hyderabad,Ravindra Nagar Habsiguda Hyderabad,9857,5580,255 X 21.9,Freehold,,East,No,55000000
Plot/Land for Sale in Majidpur Road Hyderabad,Majidpur Road Hyderabad,1667,1800,180 X 120,,HMDA,East,No,3000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,8750,200,,,,East,No,1800000
Plot/Land for Sale in Mumbai Highway Hyderabad,Mumbai Highway Hyderabad,2056,1800,45 X 40,Freehold,DTCP,,Yes,3700000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,3333,1800,90 X 180,Freehold,HMDA,,Yes,6000000
Plot/Land for Sale in Himayatnagar Moinabad Hyderabad,Himayatnagar Moinabad Hyderabad,3111,7200,120 X 60,Freehold,,,Yes,22400000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1903,1314,132 X 9.96,Freehold,DTCP,,Yes,2500000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1444,1800,,Freehold,HMDA,East,No,2600000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,24405,168,4.67 X 36,Freehold,HMDA,East,No,4100000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,5202,2403,13.3 X 180,Freehold,HMDA,,Yes,12500000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,1667,1467,16.3 X 90,,,,Yes,2400000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,9079,2313,384 X 6.03,Freehold,,,Yes,21000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2155,1485,90 X 150,,DTCP,,Yes,3200000
