title,location,price,area_sqft,price_per_sqft,latitude,longitude,infrastructure,metro_distance,crime_rate,pollution,growth_index
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,3200000,2250,1422,17.46535268870189,78.41291007254497,9.190601915188461,9.88325862688201,4.20901836254839,6.459743945911744,6.219941606819074
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,4400000,3600,1222,17.518643701448074,78.2904604979036,8.924083420043235,5.7213629324140856,6.207829429728202,6.906778823051994,7.447329074554579
"Residential Land / Plot in Aroor, Hyderabad",Aroor,3600000,1476,2439,17.53305378674099,78.36259738275254,7.546633860560131,10.485026878302675,5.093623479456677,7.192603063681139,5.032971356901854
"Residential Land / Plot in Kompally, Hyderabad",Kompally,4500000,1350,3333,17.435313842489766,78.41231195978688,5.613390920709687,10.696895725509124,4.643639988061842,5.599235801296631,3.80240264392277
"Residential Land / Plot in Keesara, Hyderabad",Keesara,2900000,1980,1444,17.427278250226955,78.35034670499077,7.849867775001817,1.8096469108901778,4.324581615824887,5.8918840877037715,8.106705028037698
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2400000,1323,1778,17.33236767523015,78.44055943821404,5.192237637939698,9.09742322131861,4.770742103128961,7.471350760221234,4.082868175657615
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,3200000,1620,2000,17.404672257310555,78.48069140132075,9.6703676545938,1.951514116344354,5.201288207478232,4.567685332016077,9.151715887308162
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,4800000,1980,2444,17.43611084255682,78.5295588716282,9.215856240798772,2.2749869173926505,4.2873435514779334,3.5917253501493476,8.771184772015046
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,3000000,1800,1667,17.518643701448074,78.2904604979036,7.444857602082444,11.448746507275612,3.024171263452477,4.841884991167037,4.650665725490929
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,13000000,9000,1444,17.4967217487363,78.39105876931661,7.629905151989568,4.216936897506316,4.0917046640773584,4.497569951804131,7.172297458691636
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,4000000,1800,2222,17.498839470419508,78.27962908449676,6.523224834315435,2.171188755012971,2.31320468434341,5.587712441200136,7.1902053155849375
"Residential Land / Plot in Gundlapochampally, Outer Ring Road, Hyderabad",Gundlapochampally,13900000,2637,5271,17.54248553797095,78.43578499655298,5.2201521165422,8.380055654172128,6.425455862758268,4.75645033655628,4.338739385201277
"Residential Land / Plot in Timmapur, Hyderabad",Timmapur,30000000,7200,4167,17.320721135337333,78.41982152750377,6.242629251062715,8.424221045417855,4.856824223250903,5.095061730867996,4.937503868831676
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,6600000,1629,4052,17.411137334717885,78.36885685470183,9.966774335105832,8.684726935324473,2.4172363273787223,3.912751902860876,7.0851556226220085
"Residential Land / Plot in Tukkuguda, Srisailam Highway, Hyderabad",Tukkuguda,8800000,3159,2770,17.411137334717885,78.36885685470183,6.496848719117214,1.7292088338748197,7.635127291019269,6.996124999643239,7.321706286845389
"Residential Land / Plot in Maheswaram Lines, Chandrayangutta, Srisailam Highway, Hyderabad",Maheswaram Lines,1600000,1008,1587,17.522935403357657,78.3245824153282,5.386695538568232,3.114704722172532,3.427120007621668,5.421095861482938,6.1937824157500945
"Residential Land / Plot in Lakudaram, Hyderabad",Lakudaram,3000000,1647,1821,17.391171948825257,78.42901940731021,7.464556682616214,8.576901743511876,3.097583882237144,6.104764074065434,5.6197667617324365
"Residential Land / Plot in Shadnagar Bypass Road, Hyderabad",Shadnagar Bypass Road,3800000,1350,2778,17.370849028313277,78.54124603779995,9.15942604598314,10.842157391282305,6.9703792085690335,3.588807048226481,5.881603163829116
"Residential Land / Plot in Srisailam Highway, Hyderabad",Srisailam Highway,4000000,1800,2222,17.46964172295289,78.45263932674229,7.207500884924181,11.492013606129909,3.064358467724724,4.03840958995303,4.493829328911205
"Residential Land / Plot in Zahirabad, Hyderabad",Zahirabad,2200000,1575,1381,17.387157956559886,78.47130345437176,7.35980499814203,10.724255160893872,6.045005771560119,5.170859611372363,4.841131278587261
"Residential Land / Plot in Appa Junction Area, Hyderabad",Appa Junction Area,61200000,5004,12222,17.40443886763293,78.36494380021779,7.318216158788412,6.7274539228268315,1.251861912237749,4.306459455023285,6.14844505433077
"Residential Land / Plot in Alair, Hyderabad",Alair,2000000,1485,1333,17.369206017887922,78.3108497204704,9.83397798356576,1.8614608142273235,7.3324980794076575,5.946173203217773,9.279899852063682
"Residential Land / Plot in Dulapally, Hyderabad",Dulapally,35700000,2925,12222,17.33591149702569,78.28900629406351,5.156797531466128,4.305653665684907,5.970803887148895,3.9702633832737497,5.658860630318042
"Residential Land / Plot in Farooqnagar, Hyderabad",Farooqnagar,5000000,1737,2879,17.39277135749753,78.54763753204733,7.792858135439262,6.017772868096225,2.590412891939168,4.413667663515439,6.669790591898149
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2800000,1503,1889,17.33236767523015,78.44055943821404,8.212102810441468,11.237999933318545,1.5040728133449193,5.463475604883277,5.181261708492032
"Residential Land / Plot in Shankarpalle, Hyderabad",Shankarpalle,17100000,4050,4227,17.340233590079315,78.31017118364691,7.010524460672366,9.600877978950914,3.671977858231038,6.620411905938278,5.006022016753115
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3200000,1800,1778,17.530911643727087,78.50120055604079,6.142457126523162,6.442390563167573,7.683575566605572,5.1831463734760845,5.538010754858039
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4500000,1980,2297,17.48637905044253,78.42608883789543,5.385670704896539,9.271884649737807,5.353506994230783,6.3302762798479755,4.140774206358654
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,4200000,1503,2778,17.50812634230957,78.2801067582936,7.666211205577741,7.9222607188465695,5.4603846264718525,5.830117012243825,5.958973150397788
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,6100000,3240,1889,17.461059327128705,78.29288357236557,5.362583104730737,6.957986220916196,1.9534703076993054,5.972663543713467,4.898221122533044
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3000000,1485,2020,17.530911643727087,78.50120055604079,8.04100988870538,11.85437053491975,6.524080143859039,4.9324505380152015,4.873149088249978
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,3700000,1800,2055,17.48637905044253,78.42608883789543,6.726587617959488,4.528006494919226,3.264682363167805,5.254584756218484,6.526617072469284
Plot/Land for Sale in Chalapathi paradise Hyderabad,Chalapathi paradise Hyderabad,3600000,1800,2000,17.38216744330314,78.3463762440032,6.273028009038839,3.9653462115804774,7.1968570908786935,6.526818014330275,6.4420347348964775
Plot/Land for Sale in Ravindra Nagar Habsiguda Hyderabad,Ravindra Nagar Habsiguda Hyderabad,55000000,5580,9857,17.346797021885788,78.4724517439433,8.542712588186436,4.920679305369503,5.778676244654371,5.15037721022952,7.485401117788694
Plot/Land for Sale in Majidpur Road Hyderabad,Majidpur Road Hyderabad,3000000,1800,1667,17.51635826360056,78.44374894108421,8.232198394484154,7.570391979891033,1.7023090207609555,7.276058334758656,6.415855043393482
Plot/Land for Sale in Mumbai Highway Hyderabad,Mumbai Highway Hyderabad,3700000,1800,2056,17.362840020582535,78.54795707074413,6.670558379277054,9.89805669275859,1.504366655534207,5.260856089846614,4.702982796646703
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,6000000,1800,3333,17.39496360077348,78.27809564234265,5.041347499266679,10.21854317024579,4.512990624005658,7.498761561616378,3.618627442811411
Plot/Land for Sale in Himayatnagar Moinabad Hyderabad,Himayatnagar Moinabad Hyderabad,22400000,7200,3111,17.507592567926274,78.38217421613106,6.775089711488691,6.187509828677837,4.801841024857115,5.46056005834592,6.002550550667269
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2500000,1314,1903,17.48637905044253,78.42608883789543,6.047527040185468,10.420958887611617,3.048662744099023,6.357259868724475,4.154863261574075
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2600000,1800,1444,17.48637905044253,78.42608883789543,8.089782191156676,2.7015036143705005,5.286228630766579,4.546205565746028,7.953368109903838
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,12500000,2403,5202,17.302537905282204,78.3203144377101,7.461869210822378,6.769646941357814,2.688656919658687,5.545386923016112,6.220572546040822
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2400000,1467,1667,17.50812634230957,78.2801067582936,6.011261262833829,6.485938592102153,7.252608072648813,6.8398922047832285,5.444777226999579
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,21000000,2313,9079,17.4445440059289,78.3842230624413,9.046601521609142,2.562377475420787,4.233827418287406,5.151856094056539,8.573835087825223
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1485,2155,17.50675563054543,78.52077202340612,9.990358122626725,5.138808935841292,6.6334922348220715,4.814656878939537,8.281278561628937
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,8000000,1800,4444,17.467747635721317,78.37332147763702,8.739924060386546,10.323950321636744,7.856522328905163,3.412469420604047,5.802637662353012
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,6000000,2250,2667,17.50675563054543,78.52077202340612,6.515589738027337,1.3623624259033045,2.8768961740392025,7.160665016621284,7.455233034181967
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,14000000,4500,3111,17.328912351019934,78.37802050903088,8.713727779011755,5.601990938743618,3.7791543079789767,4.168282647232178,7.3609063544925135
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2000000,1197,1671,17.48637905044253,78.42608883789543,7.693119754381133,6.460008096411578,7.191907692899911,7.0152788176278085,6.462535820491488
Plot/Land for Sale in Keshampet Hyderabad,Keshampet Hyderabad,1900000,1323,1436,17.503792297840437,78.47589181647034,8.638431937915257,6.917455881343838,7.441938603921359,4.064512660713971,6.877240535634542
Plot/Land for Sale in Korremula Hyderabad,Korremula Hyderabad,10700000,2403,4453,17.542647668289845,78.35229977768236,8.435274866711131,11.94467747697057,4.451220417978632,3.495867379645156,5.079605761036489
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,3400000,1800,1889,17.530911643727087,78.50120055604079,9.687391254284528,1.6857071183585246,4.2726002090846,7.147747705982521,9.250532379784541
Plot/Land for Sale in Chennaram Hyderabad,Chennaram Hyderabad,2000000,1638,1248,17.431285805563487,78.46493781885808,5.123320731710193,9.578839893950981,1.7150766248775122,4.59948113020848,3.881045807709122
Plot/Land for Sale in Lakdaram Hyderabad,Lakdaram Hyderabad,11200000,3600,3111,17.378379636196346,78.41638493128167,5.817662156911573,6.778649878382384,1.59676481066355,5.203768660377973,5.231047334686149
"Plot/Land for Sale in TPS Colony, Secunderabad Hyderabad",TPS Colony,8500000,2404,3536,17.35121095381582,78.45920428902139,5.268963207903263,9.550596496311178,1.3164531502454069,5.175508472746357,3.9778457593048984
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3200000,1467,2167,17.50675563054543,78.52077202340612,8.341332090531752,7.759978575244205,1.1155485564413639,5.3285690820111915,6.41813972923765
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,3600000,1647,2186,17.50675563054543,78.52077202340612,7.69428893231027,6.133189680183225,1.9134965185577062,3.875079790092462,6.572176799325087
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,2500000,1908,1310,17.380842561804496,78.5309924821128,6.394082588862142,6.061202932517638,2.740976544555611,7.232147597035856,5.816048575811406
Plot/Land for Sale in Mirzapur Zaheerabad Hyderabad,Mirzapur Zaheerabad Hyderabad,2400000,1503,1611,17.53960475268009,78.54382705837735,8.321198872486612,2.9576023904624544,7.160972435869509,6.599705252783879,8.006851860004481
Plot/Land for Sale in Kandi Hyderabad,Kandi Hyderabad,4000000,1503,2667,17.36859478618667,78.30387334310268,6.259140102060838,9.802750439527646,5.845758012299456,6.737182157308996,4.487900581393955
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,11000000,3429,3208,17.508148654838916,78.36432821726588,6.749037705332025,7.586288610685688,2.4982257434132493,4.2663434659810076,5.520659752970651
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,5400000,1350,4000,17.50812634230957,78.2801067582936,5.0362474906024275,4.824596080308768,6.322996859846518,3.4217117524383855,5.4135498009252
"Plot/Land for Sale in Annaram, Nagole Hyderabad",Annaram,3000000,1800,1667,17.48073189650772,78.33486342531378,5.7700873641976305,10.135367394619976,6.173422872567182,4.284042529451544,4.083596620311919
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,23300000,3492,6667,17.446310206077616,78.51092944542387,9.47313871935378,7.291202471622952,1.4985398237099146,4.890728869656659,7.253482407737951
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,3100000,2160,1444,17.491531017763577,78.52127597438546,9.566467570440384,2.7708590284427013,2.0970099201286327,7.331780244476116,8.816260866116664
"Plot/Land for Sale in Tukkuguda, Srisailam Highway Hyderabad",Tukkuguda,16900000,3915,4317,17.411137334717885,78.36885685470183,8.261724409994954,9.337647320271284,2.2397981137607847,5.211030026890879,5.844485539239878
Plot/Land for Sale in Nandigama Kothur Hyderabad,Nandigama Kothur Hyderabad,8000000,3204,2497,17.474493006924774,78.25613545897185,8.682872201821244,7.993198162450614,5.335797776473755,3.390129274112789,6.545323933609208
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,4800000,2403,2000,17.446310206077616,78.51092944542387,7.7627155965569745,10.149177002973234,6.071657544205227,6.156633355447841,5.274570356943107
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,6600000,2583,2555,17.50675563054543,78.52077202340612,6.615526314679782,9.835396224518437,4.249922123075482,4.894647659149667,4.690850380635057
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,28000000,3150,8889,17.39263831593233,78.28748503284633,7.313872121569693,5.122674459072625,5.970764277903886,7.492024599500813,6.6807651199176075
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,14800000,1800,8222,17.490647887500003,78.54314499697286,9.195708408608443,2.6920991453057175,3.8856300194213556,4.044449943525237,8.620058663396494
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,4000000,1800,2222,17.47554240191798,78.41806561446555,7.844505041166076,6.675385513394185,6.384079700234944,7.472073739373053,6.481574520234917
Plot/Land for Sale in Shankarpally Road Hyderabad,Shankarpally Road Hyderabad,5300000,1980,2677,17.30929973874605,78.28449595682535,8.646569182995767,3.1455737061992317,4.7667979014825494,7.1608524218562835,8.139416941064383
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,5000000,2250,2222,17.380842561804496,78.5309924821128,7.766273220406159,10.68618767901207,3.892762902285869,4.205115585381092,5.097701372573005
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,3800000,2160,1759,17.31159942864524,78.44670910989613,8.899037808972812,2.6881622660646776,4.678464979147478,6.866911317884213,8.443368596695462
Plot/Land for Sale in Kondakal Shankarpally Road Hyderabad,Kondakal Shankarpally Road Hyderabad,8000000,2151,3719,17.467716038220576,78.26807041139175,7.301698361668553,3.2210893556829734,3.202244207496844,7.421616655135157,7.307322565106807
"Plot/Land for Sale in Bolarum, Medchal Road Hyderabad",Bolarum,9300000,1197,7746,17.43553506868487,78.2679609816378,8.142680583987651,10.534109933269962,1.8457108293409301,7.729637893047222,5.374238372635937
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,14000000,3600,3889,17.390640854850133,78.40756878040976,9.14990160886843,8.334458378554238,1.4411071268297342,6.8298634123010435,6.711788172469644
